x*;T;n;P_N;P_T;u_pot/T;h;u_pot;J_q;P_id
21.79;0.56202;0.00475715;0.00253035;0.002562375;-0.1123425;1.3139;-0.063138732;2.34134E-06;0.002673613
22.08;0.55664;0.0047674;0.0025314;0.002531675;-0.1105345;1.3018;-0.061527924;1.42895E-06;0.002653726
22.38;0.55934;0.00471085;0.0025293;0.002498575;-0.112432;1.3068;-0.062887715;-2.16912E-06;0.002634967
22.68;0.55933;0.00475865;0.0025267;0.0025325;-0.1147535;1.30565;-0.064185075;-5.1164E-06;0.002661656
22.97;0.560195;0.0047601;0.002527;0.0025305;-0.1126665;1.3073;-0.06311521;-1.57085E-06;0.002666584
23.27;0.56155;0.0047817;0.00252795;0.0025638;-0.116222;1.3107;-0.065264464;3.40825E-06;0.002685164
23.56;0.56385;0.0047636;0.00252595;0.0025627;-0.1165205;1.3151;-0.065700084;-1.4912E-06;0.002685956
23.86;0.56616;0.00477185;0.002531;0.002582;-0.113476;1.321;-0.064245572;-3.74285E-06;0.002701631
24.16;0.562765;0.00478925;0.00252565;0.002583625;-0.111281;1.31555;-0.062625052;6.9455E-08;0.002695222
24.45;0.560575;0.0047691;0.0025233;0.00254785;-0.110852;1.31105;-0.06214086;-4.02734E-06;0.002673438
24.75;0.560845;0.004741;0.0025149;0.0025308;-0.106586;1.31545;-0.059778225;5.01355E-06;0.002658966
25.05;0.55797;0.0047851;0.0025112;0.00254275;-0.106938;1.3074;-0.059668196;-6.6661E-06;0.002669942
25.34;0.557445;0.00476825;0.0025088;0.002512675;-0.1073695;1.30535;-0.059852591;-3.5548E-06;0.002658037
25.64;0.56098;0.0047771;0.00250755;0.0025502;-0.106874;1.3156;-0.059954177;-3.47519E-06;0.002679858
25.94;0.5589;0.0047141;0.0025101;0.002480175;-0.10798;1.3093;-0.060350022;-6.81395E-06;0.00263471
26.23;0.55465;0.00476055;0.00251405;0.002487175;-0.110591;1.29595;-0.061339298;5.31589E-06;0.002640439
26.53;0.55591;0.0047885;0.0025218;0.0025287;-0.109287;1.30225;-0.060753736;-3.1433E-06;0.002661975
26.82;0.56282;0.00474095;0.00252405;0.0025345;-0.1106975;1.3165;-0.062302767;-1.04215E-05;0.002668301
27.12;0.565935;0.00470475;0.00252555;0.002534075;-0.1109355;1.3239;-0.062782282;2.6765E-07;0.002662583
27.42;0.562685;0.0047166;0.00252425;0.0025234;-0.1116365;1.31615;-0.062816184;-4.58815E-06;0.00265396
27.71;0.56583;0.00476105;0.0025277;0.00259695;-0.1082375;1.3255;-0.061244025;1.30182E-06;0.002693945
28.01;0.563905;0.00478715;0.0025305;0.002599525;-0.108727;1.32155;-0.061311699;-2.38793E-06;0.002699498
28.31;0.564565;0.00476325;0.00252795;0.002583825;-0.1091975;1.3214;-0.061649087;-7.0705E-07;0.002689164
28.6;0.558755;0.0047902;0.00252135;0.002562525;-0.1090345;1.30775;-0.060923572;-4.08284E-06;0.002676548
28.9;0.562465;0.00472155;0.00252325;0.0025213;-0.1095655;1.31735;-0.061626759;-5.7526E-06;0.002655707
29.2;0.56266;0.0047413;0.0025242;0.002548125;-0.1070505;1.319;-0.060233034;2.04825E-06;0.00266774
29.49;0.55781;0.00476525;0.00252565;0.0025386;-0.1081925;1.307;-0.060350858;-5.42714E-06;0.002658104
29.79;0.55996;0.0048009;0.0025277;0.002581725;-0.1115095;1.3093;-0.06244086;-3.1929E-06;0.002688312
30.09;0.5672;0.00472895;0.00252735;0.002574925;-0.1104365;1.32795;-0.062639583;-1.3929E-06;0.00268226
30.38;0.566415;0.00473055;0.00252835;0.0025646;-0.1138395;1.32295;-0.0644804;-4.8359E-06;0.002679454
30.68;0.56218;0.0047503;0.00252985;0.002552425;-0.1127515;1.31485;-0.063386638;-1.0563E-06;0.002670524
